"DF.L1.C1","label"
-0.338916735344147,"2"
-0.40005756541668,"1"
-0.235551435210889,"1"
-0.479152301820778,"1"
-0.170892019362713,"1"
-0.448777472916177,"2"
-0.402297085280955,"2"
0.185787775970311,"2"
0.34389177545321,"2"
0.194776718003306,"2"
0.283718710330297,"1"
0.166549559272511,"2"
-0.390986361313085,"2"
0.281047357739697,"2"
0.153401530293326,"1"
0.296676425204115,"2"
0.0825183858305761,"2"
-0.213129996441554,"1"
-0.0471111957384771,"1"
0.057073059538839,"2"
-0.0435878458590693,"1"
-0.163680281238078,"2"
-0.0373398281590236,"1"
-0.0742812015465184,"2"
-0.112311973115302,"1"
-0.218705621988641,"2"
-0.0419736898167695,"2"
-0.326739543302742,"2"
-0.328575813109486,"2"
-0.00307343555226547,"1"
-0.201885878657027,"2"
-0.290775135355266,"2"
-0.326924209315285,"1"
-0.303177077883395,"2"
-0.2854514370676,"2"
-0.424796929802815,"2"
-0.478356169924139,"1"
-0.371988761977768,"1"
-0.402510439317067,"2"
-0.517946961537576,"1"
-0.423200548482809,"2"
-0.400485163908487,"2"
-0.0666716274060899,"2"
-0.205693618052449,"1"
-0.25376777385985,"1"
-0.234990408067048,"1"
-0.229202201100014,"2"
0.0294982551519768,"2"
0.0636828161825194,"2"
0.0691652640910881,"2"
-0.406402728751621,"2"
-0.253192719078373,"1"
-0.35492642394335,"2"
-0.322573084346954,"1"
-0.450561368176425,"1"
-0.168379595245293,"2"
-0.134249881861763,"2"
-0.360212944099224,"1"
-0.490875133222623,"2"
-0.211089567385738,"2"
-0.396906326476085,"2"
-0.409234722826618,"2"
-0.0241860533290839,"1"
-0.266512719202222,"2"
-0.305402302517146,"1"
-0.231317848561242,"2"
-0.278606350410744,"1"
-0.285617214501107,"1"
-0.108607437105337,"2"
-0.226177533185717,"1"
-0.435821056690199,"1"
-0.387444583313099,"1"
-0.547274964624222,"1"
-0.242918155266792,"2"
-0.583419976782356,"2"
-0.461273612404356,"1"
-0.493632125223984,"1"
-0.451899060422005,"1"
-0.494262798458885,"2"
-0.206045744797431,"2"
-0.160075610957114,"2"
-0.229452984865286,"1"
-0.262111848207336,"2"
-0.169205623690312,"2"
-0.33169567627612,"2"
-0.347063363716514,"1"
-0.396802826649953,"1"
-0.290235446500222,"2"
-0.336973994228522,"2"
-0.434698157571967,"2"
-0.423151731526916,"1"
-0.300880209209773,"2"
-0.215427242055471,"2"
0.106651208257478,"1"
-0.176981455587445,"2"
-0.422763186016242,"1"
-0.00795460022381111,"1"
-0.0614957387521409,"2"
-0.181451725695598,"2"
-0.332550870047026,"1"
-0.152606350662669,"1"
0.239402550193593,"2"
-0.12552871843058,"1"
-0.115821468589953,"2"
0.0959898163834813,"1"
0.0971357042218927,"2"
0.117183353396704,"2"
-0.00990628406264094,"2"
0.311900393601475,"1"
0.166142441022629,"2"
-0.0653921072670183,"1"
0.15874064590538,"2"
-0.0478580727800739,"1"
0.18407736041168,"2"
0.329126125820253,"2"
0.262948051934599,"2"
-0.119024440981161,"1"
0.0349068210123739,"1"
-0.239877292442943,"2"
-0.165863040758989,"2"
-0.239682422472269,"2"
-0.198054601803307,"1"
-0.349173394916569,"1"
-0.24655927930705,"1"
-0.201097656422313,"1"
-0.187569034053874,"2"
-0.200979308150391,"1"
-0.408256185082057,"1"
-0.41861297877009,"1"
-0.0493712393141501,"2"
-0.187799266706171,"2"
-0.432336156704269,"1"
-0.165567488065809,"1"
-0.247924696852548,"2"
-0.369040720087143,"2"
0.0396784549376433,"2"
-0.407856980689173,"1"
-0.26134392748423,"1"
-0.175048743544016,"2"
-0.397511270524124,"1"
-0.237292715942116,"2"
-0.419570367036848,"1"
-0.264848969224416,"2"
-0.245799131284736,"2"
-0.259552605626662,"1"
-0.293761662182573,"2"
-0.490456512219093,"1"
-0.175155718585669,"2"
-0.0113386759134648,"2"
-0.531842209450459,"2"
-0.455224708850081,"2"
0.0962992713374781,"1"
-0.0665567984211433,"1"
-0.284276149189052,"2"
-0.465994236483896,"1"
-0.49122244765841,"2"
-0.450039106762778,"1"
-0.501517429002923,"1"
-0.499359370035801,"1"
-0.209458240836617,"2"
-0.173372560168126,"2"
-0.352463689133222,"1"
-0.299304333435419,"1"
-0.359756963513431,"2"
-0.180290486478952,"1"
-0.281071921461847,"1"
-0.455377408357573,"1"
-0.231534343283093,"2"
-0.027273434534713,"2"
-0.140979307115515,"1"
0.0564476760756075,"1"
-0.414496756845741,"1"
-0.041110627168544,"2"
0.0511847744614617,"2"
-0.464820779650231,"2"
-0.320759955915597,"1"
-0.377515840689479,"1"
-0.225697894002536,"1"
0.030046872756688,"2"
0.1196475837455,"2"
-0.0474998538982054,"2"
0.285023991454686,"2"
0.183935071118798,"2"
0.108431132824872,"2"
-0.136974642088836,"2"
-0.406653355675598,"1"
-0.202541813757587,"2"
-0.460180468428946,"2"
0.0217199283813929,"2"
-0.293811700183043,"1"
-0.162108017830142,"1"
0.230155772812163,"1"
-0.131776371500118,"1"
-0.312769121329843,"2"
-0.294188670575506,"1"
-0.382313114275626,"1"
-0.235668791540948,"1"
-0.412430984783329,"1"
-0.400529160913968,"1"
-0.0916471860994164,"1"
-0.458221610256965,"2"
-0.285207519762072,"2"
