"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","DF.L1.C6","DF.L2.C1","label"
-0.426259118331408,0.644757257989766,0.999331071194017,0.985878427184719,-0.915854539075567,-0.999383251124491,0.960930529919511,"1"
-0.531868216169837,0.651868246826509,0.999200311864086,0.971766577198897,-0.928447546468011,-0.999094733174067,0.974202694634558,"1"
-0.297063699657461,0.694922017414913,0.999591422118854,0.992127796254633,-0.858483302425115,-0.999633417562776,0.937971805666925,"1"
0.933518841441715,-0.976424286358851,-0.999999999999327,-0.979680371242705,-0.993400248225322,0.999999999971792,0.195840422022828,"3"
-0.554195879974432,0.592351542256771,0.999127714748774,0.970055785934004,-0.926641246915505,-0.99885831195023,0.972993711610813,"1"
-0.441178501492649,0.586725403689247,0.999470756473661,0.984488037402916,-0.876216269936737,-0.999278261098636,0.95468043100357,"1"
-0.492470279124775,0.526717734211207,0.999302819772964,0.975806047902771,-0.886269040710434,-0.999037187234425,0.95834711041749,"1"
-0.432369120102209,0.674049578938889,0.999305605907502,0.981907002438236,-0.899297025974526,-0.999294368766957,0.962784376582184,"1"
-0.414551026533122,0.6039990512856,0.999553604396241,0.99360862004333,-0.93214764470671,-0.999659713893849,0.957018681515371,"1"
-0.382695645538021,0.561717082684597,0.999558231457916,0.985019454538373,-0.85274807221397,-0.999502012967341,0.939083469534598,"1"
-0.174791993741662,0.332611187375897,0.999554229273494,0.995246315710298,-0.887675241323039,-0.99964407669073,0.824631208513288,"1"
-0.288381836199048,0.585437931136559,0.999795874310765,0.996006541898596,-0.825585859670567,-0.999830631944433,0.914798855039646,"1"
-0.522784483136499,0.561842869814219,0.999391284055016,0.978773784768171,-0.906966576937202,-0.999121443280802,0.966341780109259,"1"
-0.439622373020194,0.550020463334854,0.999429911783352,0.978309298746912,-0.877633020705554,-0.999190907936882,0.951486878108739,"1"
-0.686337113388827,0.57338948560324,0.999578960458365,0.981063654393022,-0.948835183832316,-0.999621409867227,0.982695456620807,"1"
-0.950533645751835,0.999951094820443,-1,-0.999999999088487,-0.999999459512956,1,0.999964604007084,"3"
-0.578233182978173,0.556871105686799,0.99945405558371,0.98284145227352,-0.952899930903402,-0.999436001170956,0.974335488802202,"1"
-0.654726518680185,0.697061656450989,0.999200370277497,0.97010311155809,-0.937129937710277,-0.999085347291304,0.984814343189864,"1"
-0.954619110416163,0.992885008535119,-0.999999999999984,-0.999999999998046,-0.999724286924216,1,0.999964569635571,"3"
