"DF.L1.C1","DF.L2.C1","DF.L2.C2","label"
-0.00592509343332037,-0.831948330964252,-0.613310861276507,"1"
-0.0673876830700328,-0.78993611913883,-0.661968751341432,"1"
-0.00871971378106173,-0.830216134418018,-0.615634306687468,"1"
-0.00578894747807679,-0.832032307290993,-0.613197397299545,"1"
0.508186441256669,-0.976898989541275,-0.0274805534362665,"1"
-0.0501944571057575,-0.80254310859377,-0.648869771421762,"1"
0.417727564961046,-0.966970598376138,-0.147239720694989,"1"
-0.0534261844621438,-0.800226010750627,-0.651362050205822,"1"
0.146162259553873,-0.905005906462833,-0.470771339857173,"1"
-0.618517043880421,0.0331815065469416,-0.910848081997771,"1"
-0.993626437950466,0.655514536597273,-0.966321641056114,"3"
-0.405183868755223,-0.375081034943483,-0.847586961047822,"1"
-0.336930577111296,-0.486222717850879,-0.819847295037539,"1"
-0.996906221037679,0.659246783190143,-0.966610534678416,"3"
-0.992476760731351,0.654198614717922,-0.966219793453885,"3"
-0.758730073876684,0.304233760652277,-0.937835291993784,"1"
-0.419368791438974,-0.35039730380401,-0.85283755487932,"1"
-0.446619613700658,-0.301606867908909,-0.862459785737456,"1"
-0.262189072231716,-0.592092834305061,-0.784326624851421,"1"
-0.391669208384891,-0.398114390743955,-0.842425110246105,"1"
-0.229714797440552,-0.632732870413732,-0.767056872988604,"1"
-0.135309483353773,-0.732984786284048,-0.709926854365329,"1"
-0.235080386798732,-0.626241188150346,-0.769990833303635,"1"
-0.284646047568826,-0.562087128277297,-0.795601720896024,"1"
-0.28517307329576,-0.561364230030037,-0.795859947277425,"1"
-0.305467420764437,-0.532876151786874,-0.805585773324455,"1"
-0.229428488225581,-0.633076799967946,-0.766899406572518,"1"
0.151324676808235,-0.906860625403762,-0.465386514255613,"1"
-0.33529628226614,-0.488719561093271,-0.81913031310477,"1"
-0.0249860422737851,-0.819808783656455,-0.628946935444125,"1"
-0.334436948944931,-0.490029233253543,-0.81875228474439,"1"
-0.42050953109215,-0.348390347871908,-0.853252491085107,"1"
-0.252058449420085,-0.605118870699993,-0.77906355605776,"1"
-0.102444111530793,-0.762017659206617,-0.687466786684905,"1"
-0.99303829333274,0.65484184167005,-0.966269576265023,"3"
0.494676142799151,-0.975629271268742,-0.0455023961853447,"1"
0.202662670976706,-0.923519622968384,-0.409982744514582,"1"
0.25552789739861,-0.937667669700462,-0.349589319426718,"1"
0.283146343179975,-0.944016475117965,-0.316798578151086,"1"
0.0895419932803753,-0.882231583821035,-0.527511777057648,"1"
-0.320454549333817,-0.511027413531743,-0.812500647550427,"1"
0.769642375612697,-0.991837939030288,0.311090205733715,"1"
-0.998523061066845,0.661074817997174,-0.966752053210384,"3"
0.622903139883525,-0.985351156012293,0.125086627265342,"1"
0.184376621980006,-0.917942476584994,-0.43009729169378,"1"
0.421248735057016,-0.967425921615285,-0.142635134645782,"1"
0.525054145632024,-0.978392803593642,-0.00495641784275702,"1"
0.549473273763181,-0.980387580303015,0.0276543095846197,"1"
0.362368398765594,-0.958933942665645,-0.218674624341318,"1"
0.558548863366012,-0.98108153050915,0.0397630938841517,"1"
-0.840611689654698,0.444855619706225,-0.949742161618856,"3"
-0.419475261402263,-0.350210122009592,-0.85287632825023,"1"
-0.353508765345034,-0.460447590815307,-0.826976711814748,"1"
-0.992749995706237,0.654511719530842,-0.96624402618147,"3"
-0.499351465597833,-0.202763095349683,-0.879443222781721,"1"
-0.603610724953959,0.00332162745331099,-0.907393923512956,"1"
-0.470167213063741,-0.258123841370142,-0.870301739040672,"1"
-0.440201021155894,-0.313253726777114,-0.860247232340633,"1"
-0.0865069694371512,-0.775087582410784,-0.676074711146823,"1"
-0.379294684609917,-0.418774142176351,-0.837559022520757,"1"
-0.994495257227055,0.656506355042829,-0.966398407736611,"3"
-0.277200770380028,-0.572207804395193,-0.791922732640423,"1"
-0.166543260234392,-0.702670132876947,-0.73001377607447,"1"
-0.429517347056874,-0.332431198750877,-0.856491356737568,"1"
0.0234489606828118,-0.849205618676203,-0.588242893081524,"1"
-0.238369141150617,-0.622218722390367,-0.771773224661012,"1"
0.207788196795896,-0.925016424888715,-0.404271172431404,"1"
-0.186725165254624,-0.681607958006208,-0.742359347387158,"1"
-0.375252177175377,-0.425431828647771,-0.835939910574925,"1"
-0.396379238944904,-0.390141842785618,-0.844241980721922,"1"
-0.461590144696759,-0.274094512967387,-0.867494739565264,"1"
-0.359873160208664,-0.450338649735966,-0.829645207733561,"1"
-0.32815789501404,-0.499531702629384,-0.815968424300968,"1"
-0.337304471985407,-0.48565036858551,-0.820010966216941,"1"
-0.103874715027444,-0.760812852021371,-0.688473265869255,"1"
-0.201952310886533,-0.664928161427904,-0.751352829609774,"1"
-0.983988576893259,0.644359831262135,-0.965458417601403,"3"
-0.024832787983734,-0.819909466929607,-0.628823187981181,"1"
-0.0259803145346982,-0.819154345265366,-0.629749001619604,"1"
-0.314836021267368,-0.519298529313202,-0.809934548484,"1"
-0.228595734211626,-0.634075727959686,-0.766440877172395,"1"
-0.15940247144798,-0.709842052715942,-0.725527525879239,"1"
0.14299381385615,-0.903850244570135,-0.474059042627679,"1"
