"DF.L1.C1","DF.L2.C1","label"
-0.991000510223124,0.973179459273268,"1"
-0.999898351415415,0.974078051285994,"3"
-0.938420854443637,0.96720739601,"1"
-0.923384609058339,0.965270997614181,"1"
-0.984516439669935,0.972505346192516,"1"
-0.907773144004797,0.9631417108177,"1"
-0.925799358617378,0.965589378510468,"1"
-0.755740339401025,0.93447556643416,"1"
-0.886976294275555,0.960105162702681,"1"
-0.968273707443502,0.970742472284737,"1"
-0.96426247898196,0.970290248467702,"1"
-0.973514809551506,0.971323145519802,"1"
-0.947943021614558,0.968378359395359,"1"
-0.939345365474131,0.967322929534922,"1"
-0.95089973452583,0.968733511453182,"1"
-0.783790301348256,0.941035010834827,"1"
-0.961222373184694,0.969942928889301,"1"
-0.994684498228319,0.973555173159987,"3"
-0.871654384121147,0.957712515868219,"1"
-0.886413902238682,0.960019732066736,"1"
-0.940863966942766,0.967511836672829,"1"
-0.912652332192232,0.963820605343892,"1"
-0.938023314038482,0.967157593102911,"1"
-0.875786141438235,0.958371215615465,"1"
-0.839164222382089,0.952165327284405,"1"
0.392092530436945,-0.489068220260335,"1"
-0.526907302085627,0.847869189145586,"1"
-0.979088236853349,0.97192817926112,"3"
-0.712806320047237,0.923051918283892,"1"
-0.972101716105246,0.971167713422262,"1"
-0.991734242086457,0.973254706954359,"1"
-0.985091002022767,0.972565748851982,"1"
-0.998727649533175,0.973961541357318,"1"
-0.993439243307492,0.973428759614248,"1"
-0.99967599358411,0.974055961565068,"3"
-0.982939938013373,0.972338937189025,"1"
-0.998726978389529,0.973961474416151,"1"
-0.990677654008574,0.973146282712165,"1"
-0.992570593759933,0.973340224826005,"1"
-0.987106315085505,0.972776582286927,"3"
-0.706014478127779,0.921077723045085,"1"
-0.590915262953284,0.879313791309527,"1"
-0.742119389113655,0.931041131058217,"1"
-0.391288585475272,0.755372517174677,"1"
-0.968941437801011,0.970817090649871,"1"
-0.957018616525347,0.96945607189527,"1"
-0.985001334754998,0.972556330925087,"1"
-0.85801114387924,0.955464230971594,"1"
-0.981121526044524,0.972145759557792,"1"
-0.974506189319412,0.971431698399256,"1"
-0.963094983465296,0.970157336914561,"1"
-0.995526641951601,0.973640327874955,"1"
-0.999135136181193,0.974002153526752,"3"
