"DF.L1.C1","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","DF.L2.C6","label"
0.998749791256413,-0.835811967948016,-0.489760723177733,-0.536795357265996,-0.558065484102696,-0.480375081448349,0.211168086095287,1
0.998093923354573,-0.835613167162906,-0.489761670487302,-0.53639736286689,-0.557814383736291,-0.480138308157494,0.210882456270146,1
0.996914567360496,-0.835255139963513,-0.489763373899388,-0.535681104381655,-0.557362607881854,-0.479712375636866,0.210368757319552,1
0.999989207413615,-0.836187050990955,-0.489758933011065,-0.537546809072455,-0.55853971816279,-0.480822328953923,0.211707752117117,1
0.999985998849507,-0.83618608099531,-0.489758937645401,-0.53754486483704,-0.558538490950632,-0.480821171455529,0.211706355212092,1
0.999956183159936,-0.836177067028076,-0.489758980710124,-0.537526797690929,-0.558527086923566,-0.480810415282748,0.211693374383942,1
0.999900083542785,-0.836160105601674,-0.489759061738412,-0.537492802170964,-0.558505629139836,-0.480790176647312,0.211668950145001,1
0.99994815854383,-0.836174640925309,-0.489758992300594,-0.537521935001959,-0.558524017599469,-0.480807520333965,0.211689880701775,1
0.999996797286058,-0.836189345499077,-0.489758922048522,-0.537551408147089,-0.558542621128789,-0.480825067014769,0.211711056498624,1
0.999992672120873,-0.836188098416529,-0.489758928006765,-0.537548908511872,-0.558541043341879,-0.480823578854786,0.211709260537612,1
0.999770097180539,-0.836120798757045,-0.489759249486049,-0.537414025686149,-0.558455907224781,-0.480743280479844,0.211612356622127,1
0.999978142481781,-0.836183705878874,-0.48975894899286,-0.537540104232211,-0.558535486035414,-0.480818337242025,0.211702934800064,1
0.999979666739934,-0.836184166691044,-0.489758946791276,-0.537541027866647,-0.558536069037087,-0.480818887124536,0.211703598413872,1
0.991785399161915,-0.833689765706546,-0.489770782210234,-0.532557032453309,-0.555393936053116,-0.477857311133586,0.208133267464871,1
0.998266415594621,-0.835665472690067,-0.489761421346468,-0.536502057912608,-0.557880432643659,-0.480200585948527,0.210957579963006,1
0.996615866716406,-0.835164348267925,-0.489763805329413,-0.535499571987417,-0.557248132216324,-0.479604461942423,0.210238632090979,1
0.999997628346378,-0.836189596736653,-0.489758920848168,-0.537551911725209,-0.558542938990988,-0.480825366820783,0.211711418314734,1
0.996611019658517,-0.835162874602717,-0.489763812330288,-0.535496625827279,-0.557246274428705,-0.4796027106919,0.21023652046893,1
0.994939748548176,-0.834654037741979,-0.489766226236064,-0.534480009521204,-0.556605374547805,-0.478998649775848,0.209508313949299,1
0.998009251073397,-0.835587486094982,-0.4897617927845,-0.536345964551649,-0.557781959334762,-0.480107735720332,0.210845578949252,1
0.997546999309309,-0.835447220914048,-0.489762460441804,-0.536065295352659,-0.557604914634406,-0.479940810912759,0.210644243846649,1
0.997063650335394,-0.835300437518775,-0.489763158570429,-0.535771689582997,-0.557419735328777,-0.479766230469287,0.210433700679193,1
0.676478559167093,-0.708025010158806,-0.490226059622783,-0.314023973577005,-0.422612026173608,-0.355958912121464,0.0674012262378851,1
0.95721278638822,-0.822781477254749,-0.489820715296654,-0.511120251511235,-0.541961537835282,-0.465242355188797,0.193009475585547,1
0.782747830040496,-0.75737068746294,-0.490072645310459,-0.393188480728569,-0.469900895618062,-0.398711619156274,0.115423998476842,1
0.996504351267461,-0.835130440863529,-0.489763966397344,-0.535431786875165,-0.557205388995444,-0.479564170247793,0.210190049859668,1
0.976058088348366,-0.82880530518294,-0.489793497500765,-0.522887044697319,-0.549318575289456,-0.472142618083838,0.201265219947695,1
0.999981344101036,-0.836184673787776,-0.489758944368555,-0.537542044273349,-0.558536710597281,-0.48081949223914,0.211704328683638,1
0.999643322354174,-0.836082454782799,-0.489759432595015,-0.537337186474222,-0.558407409909253,-0.480697540313352,0.211557159972299,1
0.999765688915506,-0.836119465582116,-0.489759255853188,-0.537411353952027,-0.558454220920763,-0.480741690028358,0.211610437324765,1
0.999634846024567,-0.836079890763469,-0.489759444837917,-0.537332048586466,-0.55840416717958,-0.480694481973088,0.21155346940444,1
0.999682927523157,-0.836094434533555,-0.489759375390748,-0.537361192434586,-0.558422561153454,-0.480711830079668,0.211574403861197,1
0.999981385407496,-0.836184686275451,-0.489758944308893,-0.537542069303219,-0.558536726396244,-0.480819507140602,0.211704346667157,1
0.999999352686438,-0.836190118020219,-0.489758918357593,-0.537552956581867,-0.558543598512415,-0.480825988878182,0.211712169035041,1
0.999737546792752,-0.836110954433509,-0.489759296500654,-0.537394297493321,-0.5584434555394,-0.480731536598549,0.211598184596959,1
0.999938163171995,-0.836171618953143,-0.489759006737553,-0.53751587804111,-0.558520194462403,-0.480803914403565,0.211685529002878,1
0.999526332958123,-0.836047063234771,-0.489759601570221,-0.537266270372467,-0.558362652593021,-0.480655328394486,0.211506222615885,1
0.999791272574823,-0.836127202613809,-0.489759218901072,-0.537426859388331,-0.558464007433954,-0.480750920275246,0.211621576071911,1
0.999092311949427,-0.835915702704553,-0.489760228453977,-0.537003111108599,-0.558196578242046,-0.480498706195914,0.211317239189197,1
0.997750997224123,-0.835509135247623,-0.489762165795735,-0.536189173058632,-0.557683053095272,-0.480014481358489,0.210733097936901,1
0.998596526921327,-0.835765531450243,-0.48976094454676,-0.53670237462865,-0.55800681568598,-0.480319758126971,0.211101342855397,1
0.999602162778721,-0.836070004011011,-0.489759492044405,-0.537312237415664,-0.55839166362083,-0.480682689437954,0.211539239163174,1
0.999443284511256,-0.836021935254957,-0.48975972152234,-0.537215923830402,-0.558330878291023,-0.480625361640348,0.21147006250171,1
0.999880918336155,-0.836154310734968,-0.489759089419951,-0.537481187945056,-0.55849829838626,-0.480783262442973,0.211660606077626,1
0.999581698659096,-0.836063813294156,-0.489759521602032,-0.537299832649088,-0.558383834577639,-0.480675305632083,0.211530329067365,1
0.985211830233936,-0.831663804253423,-0.489780276636958,-0.528531893232718,-0.552861745563221,-0.475473605846218,0.205265072565295,1
0.999742206143174,-0.836112363609597,-0.489759289770856,-0.537397121476196,-0.558445237922708,-0.480733217660013,0.211600213224376,1
0.994661367053471,-0.834569142705123,-0.489766628316538,-0.534310522534159,-0.556498556237426,-0.478897988005982,0.209386994913022,1
0.999934715381605,-0.836170576546269,-0.489759011717419,-0.53751378874815,-0.558518875709037,-0.480802670574912,0.211684027931647,1
0.999985281633393,-0.836185864169721,-0.489758938681323,-0.537544430237815,-0.558538216629354,-0.4808209127176,0.211706042959278,1
0.99995386216298,-0.836176365318478,-0.48975898406249,-0.537525391236507,-0.558526199170285,-0.480809577964355,0.211692363890592,1
0.997954530055511,-0.835570887289826,-0.489761871821302,-0.536312745329336,-0.557761003563616,-0.480087977100458,0.210821745983591,1
0.999471497865997,-0.836030472166853,-0.489759680772011,-0.537233028069744,-0.558341672892795,-0.480635542121173,0.211482346940008,1
-0.268195410920074,0.0661465088663835,-0.491588491129617,0.446281624433971,0.0741430065501844,0.0709040915687322,-0.347920061573351,1
