"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","label"
-0.976711510185963,0.952464904530532,0.724471760658141,-0.997325802724718,-0.993326904762246,0.998559476001361,-0.560192751061634,0.991126685910407,0.479392135068111,-0.912656059873495,1
-0.931200152115012,0.971881421227335,0.832616898165733,-0.998765802719804,-0.99524748894958,0.998300020245075,-0.591285457077693,0.990545652211692,0.462399146878586,-0.916232297934095,1
-0.994369727574517,0.991804564265729,0.921379615125166,-0.999224332830175,-0.999258435479822,0.998237820003757,-0.62502935309744,0.989792305362568,0.458118696261189,-0.926819296536106,1
-0.999036227718366,0.999040150601052,0.986396050645252,-0.999558122420193,-0.999954820447627,0.998106596813045,-0.643493294948471,0.989237225578428,0.450820448170662,-0.930241992262405,1
-0.960025994910219,0.966729921998068,0.811561606796548,-0.998546417178162,-0.995849189451648,0.998387154324633,-0.587100367733685,0.99062090675307,0.467644156184164,-0.916966721357152,1
-0.961400704648034,0.994153728421318,0.978764569697653,-0.99241177761359,-0.999605285338948,0.99802016200614,-0.640109846832556,0.989262770709211,0.445799295007663,-0.926774306749229,1
-0.861836844271578,0.970260584449874,0.948544763486846,-0.998563890996076,-0.997189019297557,0.997906920196459,-0.618115398343694,0.989788686318258,0.440805842937741,-0.91545893044088,1
-0.916078949033,0.981338759446932,0.94341518950548,-0.995875939213501,-0.997465959564228,0.998021591326832,-0.623679233962541,0.989677496560663,0.44645889174254,-0.920718566577486,1
-0.832701092344402,0.954609498348428,0.930086637956138,-0.998566953419221,-0.994133706750674,0.997876721076908,-0.607261358603692,0.989879462669109,0.440137580344618,-0.910084616920978,1
-0.753397284708907,0.92672119559232,0.927422125120605,-0.997150654247859,-0.990575661539078,0.997677580011214,-0.59477695498706,0.989882881047925,0.431694513823013,-0.898698627358148,1
-0.926756301674193,0.904164454464423,0.848173827574867,-0.99909198838028,-0.989142350647663,0.998210042043349,-0.581575183069077,0.989908241904257,0.459748788169011,-0.907081827633748,1
-0.797989657378879,0.959128956193465,0.949255668340256,-0.999636152577779,-0.994367166081134,0.997761018857946,-0.610207234485953,0.989869673302684,0.434482165103499,-0.908690635938527,1
-0.911453926838033,0.953674686764324,0.926691793921366,-0.999298190118014,-0.995125498707866,0.998045569969269,-0.612511002300772,0.989689134601542,0.448813945894351,-0.91620375422192,1
-0.097081228923477,0.978849611386217,0.97897146521792,-0.999554703197488,-0.974879438240013,0.995335026431357,-0.557061725814886,0.991324181646921,0.3568331078532,-0.833301241331478,1
-0.202740895559223,0.971421603013889,0.994674717299657,-0.999269194205265,-0.951303375746301,0.995544023630119,-0.561094682872987,0.990250907753035,0.369254672750453,-0.845715303346509,1
0.368167879648064,0.811637433254494,0.88013418965019,-0.999472653074045,-0.927144197517041,0.992729024123977,-0.428655320401123,0.99145903433146,0.319828751188539,-0.66444096381314,1
-0.733391320863022,0.965391968693376,0.957234956555194,-0.999457168494519,-0.984294688534514,0.997562239915913,-0.604968004034302,0.989759141093243,0.42787940182765,-0.903835508528419,1
-0.270570592876628,0.860405493939492,0.93859100429756,-0.995465133243657,-0.935203433394442,0.99584567377135,-0.525033708374083,0.989410362150132,0.383012374580313,-0.822709015334284,1
-0.863121166512752,0.978339295189935,0.965065618443615,-0.999215873100473,-0.99107592944113,0.997855966860642,-0.621716821063953,0.989517259322645,0.439905056170815,-0.916996148875506,1
-0.872989722892506,0.990144727014787,0.977493971329561,-0.999809966487973,-0.996869062202953,0.997871543496971,-0.629306163271701,0.98961167548089,0.439107611363808,-0.919996597635136,1
-0.808064716650435,0.980772160814981,0.936574649182396,-0.998876445753053,-0.987112113377259,0.997804695208916,-0.608910840778581,0.989856143338073,0.43807080002803,-0.911563079045972,1
-0.892096509885441,0.860855062718184,0.899906890019972,-0.99573711437019,-0.915571973135532,0.997763274130824,-0.561098315902657,0.986846841432645,0.456428248619049,-0.895736737796534,1
-0.775478312543686,0.930689207611282,0.897834271222811,-0.998879939274757,-0.982781960856892,0.997794426834315,-0.585603534428355,0.989916190295467,0.439132046305464,-0.899515389509965,1
