"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","DF.L2.C6","label"
-0.285107590387976,-0.0620644808880013,-0.969029568004856,-0.78025477055544,0.0272929512837393,0.989160060857876,0.625740228363762,0.922548097723186,0.675760777667164,0.0752676976717142,-0.468580848550304,1
-0.986981707444684,0.810097056822056,-0.838650607859023,-0.0978175698638351,-0.186105270326426,0.992645061888741,-0.058279666597232,0.910363880231815,0.307384330078374,-0.695202145194104,0.59689168339314,1
-0.572879967612446,0.345923968953001,-0.965303599246483,-0.348995157863247,-0.468936326248649,0.99394481551951,0.119544291895537,0.964674510146313,0.421587523209328,-0.428618159546073,-0.0824883790691118,1
-0.90477964858113,0.790074515751978,-0.942288199657386,-0.912844497231864,-0.966263742938373,0.999549215788268,-0.27968218717456,0.996343513194887,0.524186825576944,-0.831322382329562,0.213752257786036,1
-0.632128018348098,0.516875017334248,-0.958648342701834,-0.867794407706296,-0.806089643909539,0.998942011095634,-0.0444512047496988,0.99342645024156,0.552355845154606,-0.666609719293477,-0.0858929548303335,1
-0.98946315511502,0.991506134675846,-0.897594136006798,-0.980461074540144,-0.999447148928741,0.999701197416687,-0.378362928704557,0.997153441981856,0.522179125993264,-0.885750963036321,0.412184036178995,1
-0.980675284330911,0.947821192037293,-0.916585427081263,-0.968676423937756,-0.997593830973071,0.999683968729379,-0.356315116630972,0.997072242856997,0.523893859650187,-0.877127623371279,0.366749636114853,1
-0.949665200869871,0.976155858735649,-0.889789763851162,-0.974537029933321,-0.998088276278727,0.999677178981124,-0.37227633938152,0.99707862030407,0.519886268318024,-0.878868390505874,0.395206195508285,1
-0.970159183284178,0.940460308317723,-0.909612093480628,-0.954450375794284,-0.993446519891435,0.999664790238931,-0.357329753286836,0.996946643166465,0.519136501313969,-0.873863931050124,0.365770209803845,1
-0.933210282906129,0.968767247533004,-0.913098446616068,-0.973911862983114,-0.996076594377767,0.999675410649931,-0.352245980753371,0.997121987512103,0.521920101428307,-0.875795511590036,0.369674082845878,1
-0.99208981633799,0.988486026825456,-0.894739060010475,-0.980414710561639,-0.999240117071823,0.999700249079287,-0.379743217065938,0.997137594075061,0.522398638701354,-0.885495470782933,0.412658980251902,1
-0.998798911076081,0.998563945192343,-0.810574058184453,-0.989022678289599,-0.999951595993359,0.999685330594795,-0.43078824763222,0.99694153447425,0.518396684464592,-0.887764023062248,0.472790914397776,1
-0.962582216197785,0.95915064513343,-0.913821561706367,-0.978735999222547,-0.996823836266257,0.999686161064157,-0.354620563028061,0.997126049648023,0.525698697079064,-0.877463669770804,0.370087220304663,1
