"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L2.C1","label"
-0.999781813164418,0.960935335093512,-0.999115366361718,-0.974316085434813,0.998875894919385,1
-0.999417828951055,0.719613030965993,-0.990880006477451,-0.931816569643117,0.997742245590522,1
-0.999115623281635,0.820470469677703,-0.991845574537426,-0.950002285492596,0.998308009301042,1
-0.998679443541345,0.53118813477188,-0.983031349406642,-0.913866544890823,0.996305287062015,1
-0.998709602099437,0.564719070861408,-0.957046057934129,-0.831580363169039,0.995207662529259,1
-0.999101111124526,0.0551603300882244,-0.974081188192174,-0.918222876621918,0.989497658199776,1
-0.999140213424933,0.420026961507469,-0.959038844046906,-0.933785358081088,0.995442380736642,1
-0.999493656549276,0.435419407730112,-0.975776707631382,-0.936775217573453,0.99575404273194,1
-0.999959365867571,0.832811797128657,-0.105570705254704,-0.862444482968632,0.991206053909179,1
-0.999971564916785,0.735129821822756,-0.633696689188913,-0.821236774828942,0.994390938400737,1
-0.99510168969312,0.00580359330623492,-0.683363155188096,-0.696883739381501,0.959872673313698,1
-0.999852830995027,0.568686199588786,-0.839716637303121,-0.913774460588805,0.995764396684588,1
-0.985044634434926,0.363849954301193,-0.644698300327556,-0.724814073645003,0.982057775983073,1
-0.999753356993443,0.705811360627713,-0.948043168253354,-0.943379966334083,0.997615626482172,1
-0.999859706246735,0.822014353012838,-0.955523763270501,-0.975185627144706,0.998372078935341,1
-0.999260478726054,0.770871426082999,-0.94006538650286,-0.896579962510105,0.99752585541278,1
-0.999848434960152,0.0757419698772245,-0.917469051721473,-0.737362361010512,0.97920293270595,1
-0.999288440778887,0.374507617618341,-0.918216960017863,-0.85468949217627,0.992887023187346,1
0.837633692161265,0.0429065352783961,-0.0419540730758705,0.606042010069712,-0.973323185043337,1
-0.341041612336381,0.411312208606411,-0.881027701792363,-0.454126767211918,0.927758883150087,1
-0.498307540964344,-0.0178068040820396,-0.945866847689951,-0.335066209574276,0.806800013232141,1
-0.706568564382841,0.0985333759965202,-0.874128515599307,-0.13741810046348,0.755587517756568,1
-0.980189747086502,0.394294041369788,-0.963454682354643,-0.458716494575312,0.973324003301658,1
-0.99367740143299,0.945396173715959,-0.839457236112311,-0.940311529123018,0.998305017782189,1
0.954408860860313,-0.91411564009974,0.0769531142986482,0.950764694583147,-0.999329476807966,1
-0.999497871171829,0.875665349766163,-0.996386823130013,-0.995356482234335,0.998735889234304,1
0.396477973232975,-0.68827308098904,-0.788953372362021,0.781895040607293,-0.98308889914452,1
-0.666332743394223,0.751496680275155,-0.519359318237824,-0.101651332098401,0.871676794855877,1
0.145888501039646,-0.256496851821473,-0.842945791688668,0.124166369874285,-0.468013116962384,1
0.426041210669521,-0.295571355302068,0.385620631962069,0.826727509442228,-0.994600064780809,1
